Date,DBK.DE
2023-09-05,9.48
2023-09-06,9.3
2023-09-07,9.31
2023-09-08,9.38
2023-09-11,9.56
2023-09-12,9.56
2023-09-13,9.83
2023-09-14,10.01
2023-09-15,9.96
2023-09-18,9.77
2023-09-19,9.77
2023-09-20,9.86
2023-09-21,9.81
2023-09-22,9.83
2023-09-25,9.76
2023-09-26,9.81
2023-09-27,10.05
2023-09-28,10.09
2023-09-29,10.15
2023-10-02,9.83
2023-10-03,9.65
2023-10-04,9.64
2023-10-05,9.67
2023-10-06,9.79
2023-10-09,9.66
2023-10-10,9.93
2023-10-11,9.88
2023-10-12,9.82
2023-10-13,9.68
2023-10-16,9.84
2023-10-17,9.79
2023-10-18,9.53
2023-10-19,9.47
2023-10-20,9.26
2023-10-23,9.34
2023-10-24,9.23
2023-10-25,9.99
2023-10-26,10.09
2023-10-27,10.11
2023-10-30,10.11
2023-10-31,10.06
2023-11-01,10.17
2023-11-02,10.31
2023-11-03,10.36
2023-11-06,10.32
2023-11-07,10.23
2023-11-08,10.24
2023-11-09,10.24
2023-11-10,10.2
2023-11-13,10.3
2023-11-14,10.42
2023-11-15,10.61
2023-11-16,10.58
2023-11-17,10.85
2023-11-20,10.97
2023-11-21,10.87
2023-11-22,10.8
2023-11-23,10.8
2023-11-24,10.79
2023-11-27,10.74
2023-11-28,10.78
2023-11-29,10.95
2023-11-30,11.1
2023-12-01,11.19
2023-12-04,11.2
2023-12-05,11.24
2023-12-06,11.34
2023-12-07,11.24
2023-12-08,11.49
2023-12-11,11.56
2023-12-12,11.59
2023-12-13,11.5
2023-12-14,11.63
2023-12-15,11.76
2023-12-18,11.65
2023-12-19,11.7
2023-12-20,11.95
2023-12-21,11.94
2023-12-22,12.03
2023-12-27,12.05
2023-12-28,11.96
2023-12-29,12.01
2024-01-02,12.13
2024-01-03,11.9
2024-01-04,12.16
2024-01-05,12.21
2024-01-08,12.35
2024-01-09,12.34
2024-01-10,12.39
2024-01-11,11.85
2024-01-12,11.71
2024-01-15,11.6
2024-01-16,11.54
2024-01-17,11.49
2024-01-18,11.57
2024-01-19,11.48
2024-01-22,11.6
2024-01-23,11.65
2024-01-24,11.82
2024-01-25,11.74
2024-01-26,11.74
2024-01-29,11.64
2024-01-30,11.76
2024-01-31,11.69
2024-02-01,12.04
2024-02-02,12.46
2024-02-05,12.12
2024-02-06,11.94
2024-02-07,11.27
2024-02-08,11.28
2024-02-09,11.27
2024-02-12,11.54
2024-02-13,11.54
2024-02-14,11.59
2024-02-15,11.67
2024-02-16,11.64
2024-02-19,11.66
2024-02-20,11.61
2024-02-21,11.65
2024-02-22,11.9
2024-02-23,12.04
2024-02-26,11.95
2024-02-27,12.03
2024-02-28,12.04
2024-02-29,12.01
2024-03-01,12.21
2024-03-04,12.24
2024-03-05,12.27
2024-03-06,12.21
2024-03-07,12.35
2024-03-08,12.44
2024-03-11,12.64
2024-03-12,13.23
2024-03-13,13.2
2024-03-14,13.16
2024-03-15,13.24
2024-03-18,13.12
2024-03-19,13.35
2024-03-20,13.25
2024-03-21,13.59
2024-03-22,13.78
2024-03-25,13.74
2024-03-26,13.83
2024-03-27,14.2
2024-03-28,14.17
2024-04-02,14.15
2024-04-03,14.45
2024-04-04,14.55
2024-04-05,14.34
2024-04-08,14.47
2024-04-09,14.19
2024-04-10,14.53
2024-04-11,14.17
2024-04-12,14.37
2024-04-15,14.29
2024-04-16,14.03
2024-04-17,14.09
2024-04-18,14.38
2024-04-19,14.53
2024-04-22,14.73
2024-04-23,14.96
2024-04-24,14.96
2024-04-25,16.19
2024-04-26,16.06
2024-04-29,14.68
2024-04-30,14.58
2024-05-02,14.61
2024-05-03,14.82
2024-05-06,15.16
2024-05-07,15.59
2024-05-08,15.55
2024-05-09,15.45
2024-05-10,15.43
2024-05-13,15.35
2024-05-14,15.58
2024-05-15,15.6
2024-05-16,15.41
2024-05-17,15.64
2024-05-20,15.69
2024-05-21,15.55
2024-05-22,15.5
2024-05-23,15.55
2024-05-24,15.72
2024-05-27,15.71
2024-05-28,15.67
2024-05-29,15.34
2024-05-30,15.43
2024-05-31,15.23
2024-06-03,15.36
2024-06-04,15.03
2024-06-05,15.01
2024-06-06,15.26
2024-06-07,15.3
2024-06-10,15.28
2024-06-11,14.8
2024-06-12,14.96
2024-06-13,14.53
2024-06-14,14.41
2024-06-17,14.65
2024-06-18,14.66
2024-06-19,14.71
2024-06-20,14.74
2024-06-21,14.46
2024-06-24,14.84
2024-06-25,14.67
2024-06-26,14.67
2024-06-27,14.78
2024-06-28,14.91
2024-07-01,15.41
2024-07-02,15.22
2024-07-03,15.74
2024-07-04,15.87
2024-07-05,15.66
2024-07-08,15.47
2024-07-09,15.4
2024-07-10,15.43
2024-07-11,15.32
2024-07-12,15.3
2024-07-15,15.25
2024-07-16,15.11
2024-07-17,15.22
2024-07-18,15.29
2024-07-19,15.01
2024-07-22,15.47
2024-07-23,15.68
2024-07-24,14.38
2024-07-25,14.42
2024-07-26,14.42
2024-07-29,14.32
2024-07-30,14.61
2024-07-31,14.44
2024-08-01,13.99
2024-08-02,13.17
2024-08-05,12.84
2024-08-06,12.84
2024-08-07,13.04
2024-08-08,13.09
2024-08-09,13.29
2024-08-12,13.31
2024-08-13,13.3
2024-08-14,13.38
2024-08-15,13.81
2024-08-16,14.04
2024-08-19,14.15
2024-08-20,13.92
2024-08-21,14.01
2024-08-22,14.57
2024-08-23,14.7
2024-08-26,14.61
2024-08-27,14.7
2024-08-28,14.68
2024-08-29,14.67
2024-08-30,14.75
2024-09-02,14.75
2024-09-03,14.52
